run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,revStore,oxyRev,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,rev_oxy_death,shed_total,div_total
36,bounded,36,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,153,500,24.0,True,4656.0,20000,20000.0,192,3207,0.5341439040639574,0.05986903648269411,243,392,17059,0,781893,805576
33,bounded,33,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,63,500,24.0,True,1752.0,20000,20000.0,12,3408,0.5676215856095936,0.0035211267605633804,120,351,18068,0,908070,926956
45,bounded,45,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,169,500,24.0,True,3024.0,20000,20000.0,466,3242,0.5399733510992671,0.14373843306600864,515,352,18318,0,969150,993859
34,bounded,34,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,199,500,24.0,True,3384.0,20000,20000.0,1087,3167,0.5274816788807462,0.3432270287338175,1150,305,17270,0,1079878,1105078
41,bounded,41,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,48,200,90,500,24.0,True,5304.0,20000,20000.0,622,3189,0.5311459027315123,0.19504546879899656,652,352,16502,0,1010395,1030497
44,bounded,44,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,147,500,24.0,True,4512.0,20000,20000.0,1044,3158,0.5259826782145236,0.3305889803673211,1080,274,17753,0,1148698,1172665
46,bounded,46,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,215,500,24.0,True,3576.0,20000,20000.0,501,3267,0.5441372418387741,0.15335169880624427,531,349,18204,0,918070,945262
39,bounded,39,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,75,500,24.0,True,2784.0,20000,20000.0,1412,3116,0.5189873417721519,0.45314505776636715,1442,338,18016,0,1065903,1085713
55,bounded,55,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,12,200,135,500,24.0,True,2616.0,20000,20000.0,33,3325,0.5537974683544303,0.009924812030075189,95,399,12345,0,644677,661196
51,bounded,51,6.0,15.0,1.08,0.85,0.001,0.2,1.0,1000,24,200,156,500,24.0,True,4728.0,20000,20000.0,260,3230,0.5379746835443038,0.0804953560371517,373,398,15685,0,670599,693151
