run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,revStore,oxyRev,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,rev_oxy_death,shed_total,div_total
1300038,chronic,38,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,12,200,1584,500,24.0,False,5352.0,20000,20000.0,2728,2975,0.49550299800133246,0.9169747899159664,2728,248,9754,662126,1469053,1564396
1300042,chronic,42,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,48,200,396,500,24.0,False,6024.0,20000,20000.0,1803,3084,0.513657561625583,0.5846303501945526,1911,280,11934,563579,1362898,1400942
1300065,chronic,65,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,48,200,396,500,24.0,False,,20000,20000.0,156,3235,0.5388074616922052,0.0482225656877898,204,417,3092,30641,479331,507592
1300055,chronic,55,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,48,200,396,500,24.0,False,,20000,20000.0,33,3222,0.5366422385076616,0.010242085661080074,134,463,1956,14609,453115,480224
1300062,chronic,62,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,24,200,792,500,24.0,False,,20000,20000.0,7,3258,0.5426382411725517,0.002148557397176182,93,455,2802,20494,448026,492082
1300053,chronic,53,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,24,200,792,500,24.0,False,18264.0,20000,20000.0,1310,3087,0.5141572285143238,0.4243602202785876,1366,412,5532,85177,553127,600721
1300056,chronic,56,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,48,200,396,500,24.0,False,13968.0,20000,20000.0,1416,3172,0.5283144570286475,0.44640605296343,1459,398,6841,230795,811576,843835
1300054,chronic,54,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,48,200,396,500,24.0,False,13944.0,20000,20000.0,2111,3041,0.5064956695536309,0.6941795462019072,2165,398,6538,258338,856790,888569
1300057,chronic,57,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,24,200,792,500,24.0,False,6888.0,20000,20000.0,3010,3086,0.5139906728847435,0.9753726506804925,2988,259,9859,660904,1499227,1560725
1300066,chronic,66,6.0,15.0,1.08,0.85,0.001,0.33,0.5,1000,12,200,1584,500,24.0,False,3936.0,20000,20000.0,3006,3032,0.5049966688874084,0.991424802110818,2987,173,8738,863838,1795430,1896798
