run_id,scenario,seed,tau_d,cyc_h,Twake,sigma,pRevert,wound_start_h,wound_freq_h,wound_size,wounds_inflicted,stop_threshold,check_every_h,wounding_stops_on_threshold,clone_established_at_h,target_hours,elapsed_h,final_clone_size,final_cells_total,final_density,final_clone_frac,final_burden,rev_total,rev_lost,shed_total,div_total
200049,bounded,49,6.0,15.0,1.08,0.85,0.001,1000,12,200,87,500,24.0,True,2040.0,20000,20000.0,353,3223,0.5368087941372418,0.10952528699968973,499,387,17187,779006,798229
200050,bounded,50,6.0,15.0,1.08,0.85,0.001,1000,24,200,121,500,24.0,True,3888.0,20000,20000.0,3058,3058,0.5093271152564957,1.0,2987,237,15090,1500212,1519505
200053,bounded,53,6.0,15.0,1.08,0.85,0.001,1000,48,200,65,500,24.0,True,4104.0,20000,20000.0,1352,3182,0.5299800133244503,0.4248900062853551,1397,300,17191,1243793,1262829
200054,bounded,54,6.0,15.0,1.08,0.85,0.001,1000,12,200,103,500,24.0,True,2232.0,20000,20000.0,169,3246,0.5406395736175883,0.05206407886629698,378,359,16637,881826,901140
200045,bounded,45,6.0,15.0,1.08,0.85,0.001,1000,24,200,110,500,24.0,True,3624.0,20000,20000.0,347,3199,0.5328114590273151,0.10847139731165989,405,342,16689,965337,985876
200041,bounded,41,6.0,15.0,1.08,0.85,0.001,1000,24,200,58,500,24.0,True,2376.0,20000,20000.0,360,3219,0.5361425716189208,0.11183597390493942,442,351,17957,840802,859499
200046,bounded,46,6.0,15.0,1.08,0.85,0.001,1000,12,200,177,500,24.0,True,3120.0,20000,20000.0,2036,3059,0.509493670886076,0.6655769859431186,2098,200,17309,1633337,1657203
200064,bounded,64,6.0,15.0,1.08,0.85,0.001,1000,24,200,84,500,24.0,True,3000.0,20000,20000.0,72,3229,0.5378081279147235,0.022297925054196345,162,370,14553,683292,700210
200060,bounded,60,6.0,15.0,1.08,0.85,0.001,1000,24,200,196,500,24.0,True,5688.0,20000,20000.0,7,3341,0.5564623584277149,0.0020951810835079317,60,432,12966,612907,635646
200065,bounded,65,6.0,15.0,1.08,0.85,0.001,1000,24,200,125,500,24.0,True,3984.0,20000,20000.0,24,3412,0.5682878081279147,0.007033997655334115,59,383,10774,568343,584250
200057,bounded,57,6.0,15.0,1.08,0.85,0.001,1000,12,200,105,500,24.0,True,2256.0,20000,20000.0,373,3184,0.5303131245836109,0.11714824120603015,445,421,10616,590300,603560
200070,bounded,70,6.0,15.0,1.08,0.85,0.001,1000,12,200,113,500,24.0,True,2352.0,20000,20000.0,18,3196,0.5323117921385743,0.005632040050062578,95,405,16459,790344,809902
200059,bounded,59,6.0,15.0,1.08,0.85,0.001,1000,12,200,57,500,24.0,True,1680.0,20000,20000.0,67,3327,0.5541305796135909,0.020138262699128343,213,385,12836,688604,701655
200061,bounded,61,6.0,15.0,1.08,0.85,0.001,1000,24,200,108,500,24.0,True,3576.0,20000,20000.0,18,3236,0.5389740173217855,0.005562422744128554,68,426,13581,627972,645487
200069,bounded,69,6.0,15.0,1.08,0.85,0.001,1000,48,200,98,500,24.0,True,5688.0,20000,20000.0,82,3180,0.5296469020652899,0.02578616352201258,238,414,15303,663345,682965
200063,bounded,63,6.0,15.0,1.08,0.85,0.001,1000,24,200,67,500,24.0,True,2592.0,20000,20000.0,625,3194,0.5319786808794137,0.19567939887288666,695,327,17310,890297,908838
200062,bounded,62,6.0,15.0,1.08,0.85,0.001,1000,48,200,77,500,24.0,True,4656.0,20000,20000.0,148,3191,0.5314790139906729,0.046380445001566906,365,345,15312,804258,822255
200058,bounded,58,6.0,15.0,1.08,0.85,0.001,1000,48,200,113,500,24.0,True,6384.0,20000,20000.0,993,3220,0.536309127248501,0.30838509316770185,1058,344,14886,940801,961116
200056,bounded,56,6.0,15.0,1.08,0.85,0.001,1000,48,200,66,500,24.0,True,4128.0,20000,20000.0,51,3240,0.5396402398401066,0.01574074074074074,180,402,14227,652003,668083
200067,bounded,67,6.0,15.0,1.08,0.85,0.001,1000,12,200,135,500,24.0,True,2616.0,20000,20000.0,709,3185,0.5304796802131913,0.22260596546310832,776,390,16950,806785,828105
200068,bounded,68,6.0,15.0,1.08,0.85,0.001,1000,48,200,148,500,24.0,True,8088.0,20000,20000.0,1458,3127,0.520819453697535,0.46626159258074834,1520,335,16318,990730,1014777
200071,bounded,71,6.0,15.0,1.08,0.85,0.001,1000,24,200,82,500,24.0,True,2952.0,20000,20000.0,1319,3143,0.5234843437708194,0.419662742602609,1354,282,17575,1222188,1242009
200066,bounded,66,6.0,15.0,1.08,0.85,0.001,1000,12,200,63,500,24.0,True,1752.0,20000,20000.0,1718,3113,0.5184876748834111,0.5518792161901702,1757,228,17873,1570204,1588412
200081,bounded,81,6.0,15.0,1.08,0.85,0.001,1000,48,200,95,500,24.0,True,5544.0,20000,20000.0,31,3328,0.5542971352431713,0.009314903846153846,66,425,10631,588380,603159
200080,bounded,80,6.0,15.0,1.08,0.85,0.001,1000,24,200,82,500,24.0,True,2952.0,20000,20000.0,153,3251,0.5414723517654897,0.047062442325438325,223,397,14848,749220,766383
200084,bounded,84,6.0,15.0,1.08,0.85,0.001,1000,48,200,72,500,24.0,True,4416.0,20000,20000.0,37,3275,0.5454696868754164,0.011297709923664122,141,400,13991,657981,674368
200073,bounded,73,6.0,15.0,1.08,0.85,0.001,1000,24,200,95,500,24.0,True,3264.0,20000,20000.0,14,3333,0.5551299133910726,0.0042004200420042,51,398,16569,781920,801532
200085,bounded,85,6.0,15.0,1.08,0.85,0.001,1000,12,200,81,500,24.0,True,1968.0,20000,20000.0,138,3205,0.5338107928047968,0.043057722308892356,353,445,13287,662684,677538
200072,bounded,72,6.0,15.0,1.08,0.85,0.001,1000,12,200,115,500,24.0,True,2376.0,20000,20000.0,6,3314,0.5519653564290473,0.0018105009052504525,27,404,13616,686510,703324
200087,bounded,87,6.0,15.0,1.08,0.85,0.001,1000,12,200,165,500,24.0,True,2976.0,20000,20000.0,253,3320,0.5529646902065289,0.07620481927710844,287,373,17212,840874,864461
200079,bounded,79,6.0,15.0,1.08,0.85,0.001,1000,12,200,165,500,24.0,True,2976.0,20000,20000.0,1173,3148,0.5243171219187208,0.37261753494282085,1219,332,17552,958472,982034
200075,bounded,75,6.0,15.0,1.08,0.85,0.001,1000,24,200,87,500,24.0,True,3072.0,20000,20000.0,214,3243,0.5401399067288475,0.06598828245451742,302,390,17242,754405,774235
200082,bounded,82,6.0,15.0,1.08,0.85,0.001,1000,12,200,129,500,24.0,True,2544.0,20000,20000.0,1981,3058,0.5093271152564957,0.6478090255068673,2032,238,18523,1423065,1445647
200076,bounded,76,6.0,15.0,1.08,0.85,0.001,1000,24,200,123,500,24.0,True,3936.0,20000,20000.0,1532,3157,0.5258161225849434,0.4852708267342414,1589,362,17485,1023774,1046136
200074,bounded,74,6.0,15.0,1.08,0.85,0.001,1000,48,200,145,500,24.0,True,7944.0,20000,20000.0,1524,3145,0.52381745502998,0.4845786963434022,1567,363,16400,897027,920957
200078,bounded,78,6.0,15.0,1.08,0.85,0.001,1000,12,200,67,500,24.0,True,1800.0,20000,20000.0,959,3184,0.5303131245836109,0.3011934673366834,1035,334,17902,1145534,1164097
200077,bounded,77,6.0,15.0,1.08,0.85,0.001,1000,24,200,139,500,24.0,True,4320.0,20000,20000.0,225,3263,0.543471019320453,0.06895494943303708,413,360,17665,959131,982633
200083,bounded,83,6.0,15.0,1.08,0.85,0.001,1000,24,200,118,500,24.0,True,3816.0,20000,20000.0,1835,3070,0.511325782811459,0.5977198697068404,1875,257,18074,1310987,1333499
200086,bounded,86,6.0,15.0,1.08,0.85,0.001,1000,12,200,87,500,24.0,True,2040.0,20000,20000.0,3022,3030,0.5046635576282479,0.9973597359735974,2979,220,17384,1681633,1700596
200093,bounded,93,6.0,15.0,1.08,0.85,0.001,1000,24,200,56,500,24.0,True,2328.0,20000,20000.0,6,3343,0.5567954696868754,0.0017947950942267424,71,421,7876,548332,557006
200090,bounded,90,6.0,15.0,1.08,0.85,0.001,1000,12,200,101,500,24.0,True,2208.0,20000,20000.0,66,3271,0.5448034643570953,0.020177315805564047,126,429,11956,599750,614312
200091,bounded,91,6.0,15.0,1.08,0.85,0.001,1000,12,200,67,500,24.0,True,1800.0,20000,20000.0,105,3229,0.5378081279147235,0.032517807370703006,265,384,17307,786743,804641
200097,bounded,97,6.0,15.0,1.08,0.85,0.001,1000,12,200,229,500,24.0,True,3744.0,20000,20000.0,6,3231,0.5381412391738841,0.0018570102135561746,35,383,13525,699680,722687
200095,bounded,95,6.0,15.0,1.08,0.85,0.001,1000,48,200,88,500,24.0,True,5208.0,20000,20000.0,104,3267,0.5441372418387741,0.03183348637894092,172,384,16056,798919,818536
200099,bounded,99,6.0,15.0,1.08,0.85,0.001,1000,24,200,51,500,24.0,True,2208.0,20000,20000.0,789,3195,0.532145236508994,0.24694835680751173,868,380,17466,905628,923481
200089,bounded,89,6.0,15.0,1.08,0.85,0.001,1000,12,200,117,500,24.0,True,2400.0,20000,20000.0,49,3200,0.5329780146568954,0.0153125,227,305,16987,959651,979891
200096,bounded,96,6.0,15.0,1.08,0.85,0.001,1000,24,200,75,500,24.0,True,2784.0,20000,20000.0,3019,3019,0.5028314457028648,1.0,2983,226,15624,1578235,1595425
200088,bounded,88,6.0,15.0,1.08,0.85,0.001,1000,24,200,93,500,24.0,True,3216.0,20000,20000.0,143,3227,0.537475016655563,0.04431360396653238,354,391,17653,886457,906990
200098,bounded,98,6.0,15.0,1.08,0.85,0.001,1000,24,200,165,500,24.0,True,4944.0,20000,20000.0,621,3204,0.5336442371752165,0.19382022471910113,677,390,16470,941823,965553
200094,bounded,94,6.0,15.0,1.08,0.85,0.001,1000,48,200,46,500,24.0,True,3168.0,20000,20000.0,181,3252,0.5416389073950699,0.05565805658056581,231,331,16842,874510,891896
200092,bounded,92,6.0,15.0,1.08,0.85,0.001,1000,24,200,118,500,24.0,True,3816.0,20000,20000.0,544,3211,0.5348101265822784,0.16941762690750545,623,353,17914,848305,870873
